# MANE Select GRCh38 v1.5: every gene, symbol and HGNC id.
# source MANE.GRCh38.v1.5.summary.txt.gz sha256 d10ace2720681a3b2e0eefd9da4f551274a6b4141ac9bfd6a2565dfb6e9ad55c
symbol	hgnc_id
ANKRD12	HGNC:29135
ANKRD13A	HGNC:21268
ANKRD13B	HGNC:26363
ANKRD13C	HGNC:25374
ANKRD13D	HGNC:27880
ANKRD16	HGNC:23471
ANKRD17	HGNC:23575
ANKRD18A	HGNC:23643
ANKRD18B	HGNC:23644
ANKRD2	HGNC:495
ANKRD20A1	HGNC:23665
ANKRD22	HGNC:28321
ANKRD23	HGNC:24470
ANKRD24	HGNC:29424
ANKRD26	HGNC:29186
ANKRD27	HGNC:25310
ANKRD28	HGNC:29024
ANKRD29	HGNC:27110
ANKRD30A	HGNC:17234
ANKRD30B	HGNC:24165
ANKRD30BL	HGNC:35167
ANKRD31	HGNC:26853
ANKRD33	HGNC:13788
ANKRD33B	HGNC:35240
ANKRD34A	HGNC:27639
ANKRD34B	HGNC:33736
ANKRD34C	HGNC:33888
ANKRD35	HGNC:26323
ANKRD36	HGNC:24079
ANKRD36B	HGNC:29333
ANKRD36C	HGNC:32946
ANKRD37	HGNC:29593
ANKRD39	HGNC:28640
ANKRD40	HGNC:28233
ANKRD40CL	HGNC:26080
ANKRD42	HGNC:26752
ANKRD44	HGNC:25259
ANKRD45	HGNC:24786
ANKRD46	HGNC:27229
ANKRD49	HGNC:25970
ANKRD50	HGNC:29223
ANKRD52	HGNC:26614
ANKRD53	HGNC:25691
ANKRD54	HGNC:25185
ANKRD55	HGNC:25681
ANKRD6	HGNC:17280
ANKRD60	HGNC:16217
ANKRD61	HGNC:22467
ANKRD62	HGNC:35241
ANKRD63	HGNC:40027
ANKRD65	HGNC:42950
ANKRD66	HGNC:44669
ANKRD7	HGNC:18588
ANKRD9	HGNC:20096
ANKS1A	HGNC:20961
ANKS1B	HGNC:24600
ANKS3	HGNC:29422
ANKS4B	HGNC:26795
ANKS6	HGNC:26724
ANKUB1	HGNC:29642
ANKZF1	HGNC:25527
ANLN	HGNC:14082
ANO1	HGNC:21625
ANO10	HGNC:25519
ANO2	HGNC:1183
ANO3	HGNC:14004
ANO4	HGNC:23837
ANO5	HGNC:27337
ANO6	HGNC:25240
ANO7	HGNC:31677
ANO8	HGNC:29329
ANO9	HGNC:20679
ANOS1	HGNC:6211
ANP32A	HGNC:13233
ANP32B	HGNC:16677
ANP32D	HGNC:16676
ANP32E	HGNC:16673
ANPEP	HGNC:500
ANTKMT	HGNC:14152
ANTXR1	HGNC:21014
ANTXR2	HGNC:21732
ANTXRL	HGNC:27277
ANXA1	HGNC:533
ANXA10	HGNC:534
ANXA11	HGNC:535
ANXA13	HGNC:536
ANXA2	HGNC:537
ANXA2R	HGNC:33463
ANXA3	HGNC:541
ANXA4	HGNC:542
ANXA5	HGNC:543
ANXA6	HGNC:544
ANXA7	HGNC:545
ANXA8	HGNC:546
ANXA8L1	HGNC:23334
ANXA9	HGNC:547
AOAH	HGNC:548
AOC1	HGNC:80
AOC2	HGNC:549
AOC3	HGNC:550
AOPEP	HGNC:1361
AOX1	HGNC:553
AP1AR	HGNC:28808
AP1B1	HGNC:554
AP1G1	HGNC:555
AP1G2	HGNC:556
AP1M1	HGNC:13667
AP1M2	HGNC:558
AP1S1	HGNC:559
AP1S2	HGNC:560
AP1S3	HGNC:18971
AP2A1	HGNC:561
AP2A2	HGNC:562
AP2B1	HGNC:563
AP2M1	HGNC:564
AP2S1	HGNC:565
AP3B1	HGNC:566
AP3B2	HGNC:567
AP3D1	HGNC:568
AP3M1	HGNC:569
AP3M2	HGNC:570
AP3S1	HGNC:2013
AP3S2	HGNC:571
AP4B1	HGNC:572
AP4E1	HGNC:573
AP4M1	HGNC:574
AP4S1	HGNC:575
AP5B1	HGNC:25104
AP5M1	HGNC:20192
AP5S1	HGNC:15875
AP5Z1	HGNC:22197
APAF1	HGNC:576
APBA1	HGNC:578
APBA2	HGNC:579
APBA3	HGNC:580
APBB1	HGNC:581
APBB1IP	HGNC:17379
APBB2	HGNC:582
APBB3	HGNC:20708
APC	HGNC:583
APC2	HGNC:24036
APCDD1	HGNC:15718
APCDD1L	HGNC:26892
